x,y
24,21.54945200
50,47.46446300
15,17.21865600
38,36.58639800
87,87.28898400
36,32.46387500
12,10.78089700
81,80.7633990
25,24.61215100
5,6.963319000
16,11.23757300
16,13.53290200
24,24.60323900
39,39.40050000
54,48.43753800
60,61.69900300
26,26.92832400
73,70.4052050
29,29.34092400
31,25.30895200
68,69.02934300
87,84.99484700
58,57.04310300
54,50.5921990
84,83.02772200
58,57.05752700
49,47.95883300
20,24.34226400
90,94.68488300
48,48.03970700
4,7.08132300
25,21.99239900
42,42.33151700
0,0.329089000
60,61.92303700
93,91.17716400
39,39.45358000
7,5.996070000
21,22.59015900
68,61.18044400
84,85.02779000
0,-1.28631100
58,61.94274000
19,21.96033300
36,33.66194200
19,17.60946200
59,58.5630560
51,52.82390800
19,22.1363480
33,35.07467400
85,86.18822300
44,42.63227700
5,4.09817700
59,61.2229860
14,17.70677600
9,11.85312600
75,80.23051700
69,62.64931700
10,9.616860000
17,20.02797700
58,61.7510740
74,71.61010300
21,23.77154600
51,51.90142000
19,22.66073700
50,50.02897900
24,26.68794400
0,0.376912000
12,6.806419000
75,77.33986000
21,28.90260200
64,66.7346610
5,0.707511000
58,57.07748400
32,28.41453200
41,44.46272100
7,7.459606000
4,2.316708000
5,4.928546000
49,52.50336100
90,91.19109600
3,8.489164000
11,6.963372000
32,31.97990000
83,81.4281210
25,22.62365400
83,78.52505100
26,25.80714100
76,73.51081800
95,91.775467
53,49.21863500
77,80.50445400
42,50.05636100
25,25.46292500
54,55.32164300
55,59.1244890
0,1.100687000
73,71.98020800
35,30.13666400
86,83.88427400
90,89.91004800
13,8.335655000
46,47.88389000
46,45.00397400
32,31.15664600
8,9.190376000
71,74.83135000
28,30.23177600
24,24.21914000
56,57.87219200
49,50.61728400
79,78.67470000
90,86.236707
89,89.10409300
41,43.26595100
27,26.68273300
58,59.46383000
26,28.90055800
31,31.300416
70,71.1433270
71,68.4739210
39,39.98238900
7,4.075776000
48,47.85817500
56,51.20390200
45,43.9367210
41,38.13626700
3,3.574662000
37,36.4139960
24,22.21908500
68,63.5312570
47,49.86702800
27,21.53140000
68,64.05710200
74,70.77549800
95,92.15749800
79,81.22259200
21,25.10114100
95,94.08853400
54,53.25166200
56,59.16236600
80,75.24148400
26,28.22325800
25,25.33323700
8,6.364616000
95,95.4609220
94,88.64183800
54,58.70318700
7,6.815491000
99,99.40394700
36,32.77049200
48,47.0586790
65,60.53321800
42,40.30929900
93,89.42222700
86,86.82132100
26,26.11697500
51,53.26657600
100,96.62327900
94,95.78441000
6,6.047287000
24,24.47387900
75,75.96844800
7,3.829381000
53,52.51703700
73,72.80457500
16,14.10999100
80,80.86087100
77,77.01988200
89,86.26972400
80,77.13735500
55,51.47649500
19,17.34557500
56,57.72853600
47,44.15029400
56,59.24362700
2,-1.053276000
82,86.79002300
57,60.14031900
44,44.04222100
26,24.5227490
52,52.95305500
41,43.16133500
44,45.67562600
3,-2.830750000
31,29.19693200
97,96.49812400
21,22.5453230
17,20.10741400
7,4.035430000
61,61.14568500
10,13.97163700
52,55.34529900
10,12.18441200
65,64.00077700
71,70.3188320
4,-0.936895000
24,18.91422300
26,23.87590300
51,47.5775360
42,43.2736090
62,66.48278800
74,75.72605500
77,80.59643300
3,-2.235880000
50,47.04655000
24,21.59635600
37,32.87559000
58,57.95783000
52,52.24760000
27,24.58286900
14,12.12573800
100,100.0158030
72,74.04682700
5,1.611947000
71,70.36836300
54,52.26831700
84,83.1286170
42,43.64765000
54,49.44785400
74,72.6356700
54,52.78130600
53,57.11195100
78,79.1050630
97,101.6228550
49,53.5825400
71,68.92139300
48,46.9666960
51,51.02642900
89,85.52073600
99,99.51685800
93,94.63911300
49,46.78357700
18,21.21322000
65,58.37266000
83,87.22059700
100,102.4967860
41,43.88314300
52,53.06655800
29,26.33464800
97,98.52008900
7,9.400498000
51,52.94026700
58,53.83020900
50,45.94511100
67,65.0132740
89,86.5069580
76,75.63280800
35,36.78035000
99,100.5328920
31,29.04466100
52,51.70352400
11,9.199955000
66,71.70015800
50,49.82634100
39,37.49971100
60,53.65084700
35,33.92562000
53,49.92639700
14,8.148154000
49,49.72359000
16,16.16712800
76,75.30033000
13,9.577369000
51,48.38088400
70,72.95331700
98,92.59573900
86,88.85523600
100,99.00361800
46,45.09439600
51,46.94362700
50,48.33449600
91,94.92329600
48,47.78165200
81,81.28960700
38,37.83155000
40,39.69185300
79,76.92664900
96,88.02990500
60,56.99178900
70,72.58929400
44,44.98103400
11,11.99017600
6,1.919513000
5,1.628826000
72,66.27746700
55,57.53887300
95,94.70291100
41,41.21469900
25,25.04169200
1,3.778210000
55,50.50711800
4,9.682408000
48,48.88147600
55,54.40348600
75,71.70233200
68,69.35848400
100,99.98491600
25,26.03323700
75,75.48910300
34,36.59623100
38,40.95102200
92,86.78316300
21,15.50701200
88,85.86077900
75,79.20610100
76,80.80643800
44,48.59717300
10,13.93415000
21,27.3051180
16,14.00226300
32,33.67416
13,13.11612900
26,24.76649200
70,73.68477900
77,77.53149500
77,76.24503200
88,88.0578930
35,35.02445800
24,21.65857700
17,17.33681600
91,94.36779000
32,33.43396300
36,32.52179400
89,90.57741300
69,71.25634100
30,31.23212900
6,5.398840000
22,18.56241400
67,71.97121000
9,5.225760000
74,73.5964340
50,49.76949000
85,82.69087500
3,1.652309000
0,-3.836652000
59,62.03811600
62,61.26514600
17,13.24991600
90,88.61672700
23,21.13655500
19,23.85017500
93,92.01203400
14,10.26712300
58,54.14681600
87,87.00645700
37,37.69447400
20,19.62278700
35,34.78561000
63,62.03191000
56,52.67003800
62,58.09031500
98,97.19448800
90,90.50155300
51,50.5123460
93,94.45211900
22,21.10794600
38,37.36298400
13,10.28574800
98,96.04932400
99,100.0953700
31,30.6063170
94,96.19000500
73,71.30828000
37,34.59311000
23,19.02332900
11,10.76669700
88,90.5799870
47,48.71787700
79,78.74139800
91,85.23492300
71,71.65790000
10,8.938991000
39,39.89606000
92,91.85091100
99,99.11200400
28,26.22196500
32,33.21584200
32,35.72392700
75,76.88604500
99,99.30874600
27,25.77161100
64,67.85169400
98,98.50371100
38,31.11331900
46,45.51171000
13,12.65537800
96,95.56065400
9,9.526432000
34,36.10893200
49,46.43628300
1,-3.83998100
50,48.97302000
94,93.25305500
27,23.47651000
20,17.13551100
12,14.55896100
45,41.53992700
91,91.64730600
61,66.16652600
10,9.230857000
47,47.41377900
33,34.76441600
84,86.10796600
24,21.81268000
48,48.89964000
48,46.78108600
9,12.91328500
93,94.55203100
99,94.97068800
8,2.379172000
20,21.47983000
38,35.79795500
78,82.0763800
81,78.87097700
42,47.2492430
95,96.18852300
78,78.38491900
44,42.94274100
68,64.43231600
87,84.21191500
58,57.3069780
52,52.52101400
26,25.7440240
75,75.42283400
48,53.62523000
71,75.14466300
77,74.12151500
34,36.24807200
24,20.21665900
70,66.94758100
29,34.07278300
76,73.13850000
98,92.85929200
28,28.36793800
87,85.59308700
9,10.68453800
87,86.10708600
33,33.22031400
64,66.09563400
17,19.30486500
49,48.84542100
95,93.73176300
75,75.45758600
89,91.24239200
81,87.15690900
25,25.53752800
47,46.06629500
50,49.65277700
5,7.382244000
68,71.11189900
84,83.50570500
8,8.791140000
41,33.30638900
26,26.40362500
89,91.72960700
78,82.53030700
34,36.67762700
92,86.98450400
27,32.34784200
12,16.78354000
2,1.576584000
22,17.4618140
0,2.116113000
26,24.34804300
50,48.29491200
84,85.52145500
70,73.71434800
66,63.15189500
42,38.46213700
19,19.47100800
94,94.07428200
71,67.92051300
19,22.58096200
16,16.01629900
49,48.43307900
29,29.6673600
29,26.65566300
86,86.28206700
50,50.82304900
86,88.57251700
30,32.59980700
23,21.02469400
20,20.72895000
16,20.38051200
57,57.25180200
8,6.967537000
8,10.240085
62,64.94841100
55,55.35893900
30,31.24365600
86,90.72048800
62,58.750127
51,55.85003200
61,60.19925900
86,85.03295400
61,60.38823100
21,18.44679800
81,82.18839200
97,94.2963340
5,7.682025000
61,61.01858100
47,53.60562200
98,94.47728800
30,27.9645950
63,62.55662600
0,1.406254000
100,101.7003410
18,13.84974000
30,28.99769300
98,99.04315700
16,15.56135500
22,24.63528400
55,53.98393400
43,42.91449700
75,74.29662100
91,91.17012900
46,49.42440900
85,82.47683500
55,56.15304000
36,37.17063100
49,46.36928700
94,97.02383500
43,40.83182100
22,24.08498300
37,41.14386400
24,21.97388100
95,100.740897
61,61.19971600
75,74.39517000
68,69.04377200
58,56.68718800
5,5.860392000
53,55.72021400
80,79.22021800
83,86.30177500
25,25.26971900
34,36.33294400
26,27.65574200
90,94.79690500
60,58.67366700
49,56.15934500
19,18.40919400
92,86.26937000
29,26.59436200
8,8.452520000
57,56.18131500
29,27.65452700
19,20.87391800
81,77.83354400
50,50.01787800
15,9.290856000
70,75.0284730
39,38.3037700
43,44.70786400
21,22.51016600
98,102.4959450
86,86.76845200
16,13.89748600
25,24.81824300
31,33.94224900
93,92.26970100
67,68.73365100
49,47.38516900
25,32.37576900
88,87.67388700
54,54.57648400
21,18.06450200
8,7.896540000
32,35.00341100
35,36.72823300
67,65.84975400
90,89.59295500
59,61.69026200
15,11.60499300
67,71.0826800
42,43.71901200
44,41.57421000
77,74.25552400
68,66.28310400
36,36.62438100
11,10.32374900
10,7.156458000
65,67.88603100
98,101.1097590
98,98.6132030
49,50.19083800
31,27.83896300
56,55.9249560
70,76.47340900
91,92.05756400
25,27.35245400
54,55.32083500
39,41.39990300
91,93.59057000
3,5.297054000
22,21.01429400
2,2.267059000
2,-0.121861000
65,66.49546200
71,73.83637700
42,42.10140900
76,77.35135700
43,41.02251800
8,14.75305300
86,83.28199000
87,89.93374300
3,2.286572000
58,55.61421300
62,62.15313400
89,89.55803500
95,94.00291900
28,26.78023800
0,-0.764538000
1,0.282866000
49,44.26800500
21,19.85174100
46,47.15960000
11,8.359367000
89,92.08157100
37,41.88734100
29,30.5413130
44,46.87654500
96,96.35659500
16,17.9170700
74,71.67949900
35,32.64997600
42,39.34483000
16,17.03402000
56,52.87524100
18,15.85414800
100,108.8716180
54,49.30477300
92,89.4749480
63,63.67348200
81,83.78410900
73,73.51136900
48,46.80297200
1,5.809947000
85,85.23028000
14,10.58214000
25,21.37698300
45,46.0537750
98,95.2389250
97,94.15149200
58,54.54868000
93,87.36260400
88,88.47741600
89,84.48045700
47,48.79647100
6,10.76675700
34,30.48882900
30,29.76846200
16,13.51574700
86,86.12955900
40,43.30022700
52,51.92110200
15,16.49185300
4,7.998073000
95,97.66689600
99,89.80545400
35,38.07166600
58,60.27852300
10,6.709196000
16,18.35488900
53,56.37058200
58,62.80064200
42,41.25155600
24,19.42637500
84,82.88935800
64,63.61365000
12,11.29627200
61,60.02274900
75,72.60339300
15,11.87964600
100,100.7012740
43,45.12420800
13,14.81106800
48,48.09368000
45,42.29145700
52,52.73389800
34,36.72397000
30,28.64535200
65,62.16675300
100,95.58459500
67,66.04325300
99,99.9566220
45,46.14942000
87,89.13755000
73,69.71787800
9,12.31736600
81,78.20296300
72,71.30995400
81,81.45544700
58,58.59500600
93,94.62509400
82,88.60377000
66,63.64868500
97,94.9752660
